sender_id,receiver_id,amount,is_cross_border,ml_flag
E0860,E3387,17120.109586594033,False,0
E3772,E4713,5153.437472158661,True,0
E3092,E2431,913.4609509185134,True,0
E0466,E1016,3347.5562097804914,True,0
E4426,E0641,1020.6020717551818,True,0
E3444,E4062,4657.235065365545,True,0
E3171,E0315,2088.24164682738,False,0
E2919,E2303,1088.247550345948,True,0
E0130,E0440,1390.5797900485582,True,0
E1685,E1138,5621.168993445465,False,0
E0769,E0914,2621.5445723886273,False,0
E2391,E2303,3599.0883182662287,False,0
E2433,E4142,8611.322783309637,True,0
E1184,E3421,5327.165327192297,False,1
E4555,E2078,3103.3285861957497,False,0
E3385,E4150,15401.747694412312,False,1
E4117,E2200,1207.2065472778854,True,0
E4843,E4551,1705.3579348509331,False,0
E2904,E0035,12119.892295035572,False,0
E0474,E0817,9594.280635601235,False,0
E1082,E1946,696.6402436790752,False,0
E2558,E3956,13292.523792946648,False,0
E2047,E4351,100.0,False,0
E2747,E2225,8641.695070813656,True,0
E0975,E3325,1634.210707648243,False,0
E1806,E0507,1045.3218807653748,True,1
E0189,E3745,2977.468108434028,False,0
E2734,E4116,11369.156967199466,True,0
E3005,E3877,7706.5107423744885,True,1
E4658,E4814,17066.678877982937,False,0
E1899,E0459,3893.5126320940894,False,0
E1267,E1405,3572.466442100521,False,0
E1528,E4095,100.0,True,0
E3202,E2036,995.9608406222583,True,0
E3556,E2677,3441.995310871867,True,0
E3890,E1744,6983.07811929232,False,0
E0646,E2983,8646.81370730074,False,0
E2888,E2358,1665.2548655341168,False,1
E2435,E1231,6231.918537265034,True,0
E0600,E1177,8816.718457721534,False,0
E2363,E0761,2348.45370559924,False,0
E2061,E4778,5946.3383291717355,False,0
E0241,E2354,2874.8756571936183,False,0
E2041,E4714,21220.8098017088,False,0
E2824,E3726,100.0,False,0
E2612,E1543,2675.122338321154,False,0
E1363,E3677,1530.6995614814837,False,0
E1478,E1933,9476.826067710886,False,1
E2556,E3168,1692.2517909321111,False,0
E0775,E3561,3924.6182657006757,False,0
E4014,E4102,6740.5526227881555,False,0
E0034,E3857,3438.1150741558213,False,0
E3152,E4017,2641.576312747443,False,0
E1955,E4444,217.24181118026743,False,0
E1585,E2964,115.99600628975878,False,0
E3943,E1030,15770.381422242388,False,0
E3073,E2547,5153.516827207396,False,0
E1021,E2522,8722.103168899013,True,0
E3461,E4619,3273.8493285356385,False,0
E2613,E1875,1516.2192981406217,True,0
E3843,E0589,1744.5102972804693,True,1
E1500,E2280,222.3286373499664,False,0
E4798,E3101,7824.319220658138,True,0
E0161,E2414,4356.237664314562,True,0
E4297,E3897,3277.347679782055,False,0
E1981,E3678,9562.760403129632,False,0
E0995,E1843,2942.5398735612603,False,0
E4911,E4151,14775.845946837057,False,0
E3342,E1938,100.0,False,0
E4551,E2194,20872.253737266426,False,0
E3798,E4459,8460.933728940008,True,0
E1275,E0252,2192.053532179968,False,0
E1016,E1466,4523.831471680469,False,0
E0337,E0735,9997.794682919515,True,0
E0878,E0339,3285.0247851051186,False,0
E1076,E3587,261.9943264671845,True,0
E4887,E1376,11701.231389082637,False,0
E3993,E4719,3638.861316614834,False,0
E4859,E0704,3939.017524088983,True,0
E0379,E3724,100.0,False,0
E0492,E4418,527.16964700442,True,0
E2062,E2908,7511.84580767667,False,0
E3884,E1974,2854.19951745326,False,0
E0064,E1468,31220.99016649958,True,0
E2568,E2142,5948.339310069903,False,0
E2027,E0552,14938.934051657838,False,0
E2695,E3491,1638.0232451417685,True,0
E1495,E0789,968.8556589758646,False,0
E0391,E1173,2362.749745686128,False,0
E4514,E0552,1537.849626330948,False,0
E4474,E3422,4751.379718096294,False,0
E3561,E4211,6821.53035025852,True,0
