entity_id,degree,small_tx_count,avg_amount,amount_variance,amount_skewness,high_value_ratio,clustering_coeff,tx_freq_variance,tx_velocity,burstiness,temporal_concentration,kyc_risk_score,dormancy_period,cross_border_amount,in_degree,tx_frequency,directionality_ratio,round_trip_count,ml_flag_score,is_anomaly,anomaly_score,predicted_anomaly
E0003,96,2.0,48158.84166241425,2021586956.807654,1.5457694135778612,0.10416666666666667,0.0,88.9247311827957,3.3103448161712246,734.6666666666667,0.0,0.21798134,270.0,1048526.5148625711,192.0,192.0,0.5,0.0,0.0,0,230.50427,1
E0041,36,0.0,58917.61288001166,4079264880.2388515,1.5150357423113991,0.19444444444444445,0.0,28.9247311827957,1.285714281122449,911.4920634920636,0.0,0.05419881,65.0,1576201.1528120295,216.0,216.0,0.5,0.0,0.0,0,10.424519,1
E0076,54,0.0,328005.853575291,112081786252.51285,0.14444887130738665,0.46296296296296297,0.0,46.924731182795696,26.99999865000007,5.468204053109713,1.0,0.48071012,284.0,77280355.50539154,270.0,270.0,0.5,0.0,0.0,0,372.14847,1
E0080,33,0.0,63738.663184773264,2330929813.600321,0.8933554820805046,0.2727272727272727,0.0,25.9247311827957,1.1379310305588584,729.4507575757575,0.0,0.24905777,285.0,848982.5001620161,165.0,165.0,0.5,0.0,0.0,0,8.0686865,0
E0063,20,0.0,41058.444736376136,949499920.8063792,1.0710051793546798,0.05,0.0,12.9247311827957,0.6896551700356718,785.3684210526318,0.0,0.18263939,264.0,155732.3054070905,100.0,100.0,0.5,0.0,0.0,0,4.2050476,0
E0120,14,0.0,48159.39170009807,1326048058.6170526,0.3140977641839407,0.07142857142857142,0.0,6.924731182795699,0.4999999982142857,1047.4725274725276,0.0,0.085378736,152.0,0.0,70.0,70.0,0.5,0.0,0.0,0,0.29460987,0
E0125,18,0.0,51456.38225487046,4408405451.351736,2.3673728286233535,0.1111111111111111,0.0,10.9247311827957,0.6666666641975308,818.8235294117646,0.0,0.0490872,188.0,0.0,90.0,90.0,0.5,0.0,0.0,0,0.97326297,0
E0170,30,0.0,44918.549627740205,2795411804.2991047,2.5416433086043244,0.1,0.0,22.9247311827957,1.0344827550535076,975.919540229885,0.0,0.201248,146.0,625531.7304117874,150.0,150.0,0.5,0.0,0.0,0,4.7438273,0
E0234,18,0.0,59051.090713824975,525866493.5987779,0.14118108255556397,0.0,0.0,10.9247311827957,0.6923076896449704,865.751633986928,0.0,0.08353959,176.0,2277565.86207569,90.0,90.0,0.5,0.0,0.0,0,14.945962,1
E0436,8,0.0,70001.18544022014,2057157585.275738,0.12011040129936364,0.25,0.0,0.924731182795699,0.3478260854442344,795.5357142857143,0.0,0.28821844,35.0,264425.51852410863,40.0,40.0,0.5,0.0,0.0,0,1.4598186,0
E0252,13,1.0,30643.201774692054,852968632.388086,1.1776306741772111,0.07692307692307693,0.0,5.924731182795699,0.4482758605231867,735.7692307692308,0.0,0.1834071,140.0,0.0,65.0,65.0,0.5,0.0,0.0,0,3.4920075,0
E0640,4,0.0,56076.926105066406,2945263626.6953487,0.5892385125837336,0.25,0.0,3.075268817204301,0.3999999960000001,226.66666666666669,0.0,0.29836774,77.0,0.0,20.0,20.0,0.5,0.0,0.0,0,0.4136722,0
E0457,18,1.0,46301.921467993765,2651407535.4020953,1.1874967584974885,0.16666666666666666,0.0,10.9247311827957,0.6923076896449704,765.0,0.0,0.16377077,236.0,62613.212236728126,90.0,90.0,0.5,0.0,0.0,0,3.313529,0
